plate,plate_material,part,copy,x_mm,y_mm,rotate_z_deg
plate_01_chassis_top,PLA/PETG rigid,chassis_top.stl,1,0.0,0.0,0
plate_02_chassis_bottom,PLA/PETG rigid,chassis_bottom.stl,1,0.0,0.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,1,-117.8,-129.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,2,-43.8,-129.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,3,30.2,-129.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,4,104.2,-129.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,5,-117.8,-83.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,6,-43.8,-83.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,1,29.2,-82.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,2,101.2,-82.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,3,-118.8,-36.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,4,-46.8,-36.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,5,25.2,-34.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,6,97.2,-34.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,1,-126.2,19.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,2,-68.2,19.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,3,-10.2,21.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,4,47.8,21.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,5,105.8,21.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,6,-126.2,81.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_yaw_hub.stl,1,-66.7,81.8,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_yaw_hub.stl,2,-6.7,81.8,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_yaw_hub.stl,3,53.3,81.8,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_yaw_hub.stl,4,113.3,81.8,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,5,-124.7,-122.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,6,-64.7,-122.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,yaw_bearing_cap.stl,1,-5.6,-123.0,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,yaw_bearing_cap.stl,2,52.4,-123.0,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,yaw_bearing_cap.stl,3,110.4,-123.0,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,yaw_bearing_cap.stl,4,-5.6,-65.0,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,yaw_bearing_cap.stl,5,52.4,-65.0,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,yaw_bearing_cap.stl,6,110.4,-65.0,0
plate_04_rigid_femurs,PLA/PETG rigid,femur_link.stl,1,-90.7,-119.9,0
plate_04_rigid_femurs,PLA/PETG rigid,femur_link.stl,2,37.3,-119.9,0
plate_04_rigid_femurs,PLA/PETG rigid,femur_link.stl,3,-90.7,-53.9,0
plate_04_rigid_femurs,PLA/PETG rigid,femur_link.stl,4,37.3,-53.9,0
plate_04_rigid_femurs,PLA/PETG rigid,femur_link.stl,5,-90.7,12.1,0
plate_04_rigid_femurs,PLA/PETG rigid,femur_link.stl,6,37.3,12.1,0
plate_04_rigid_femurs,PLA/PETG rigid,servo_clamp_cap.stl,1,125.1,-116.3,90
plate_04_rigid_femurs,PLA/PETG rigid,servo_clamp_cap.stl,2,125.1,-44.3,90
plate_04_rigid_femurs,PLA/PETG rigid,servo_clamp_cap.stl,3,125.1,27.7,90
plate_04_rigid_femurs,PLA/PETG rigid,servo_clamp_cap.stl,4,-118.8,69.6,0
plate_04_rigid_femurs,PLA/PETG rigid,servo_clamp_cap.stl,5,-46.8,69.6,0
plate_04_rigid_femurs,PLA/PETG rigid,servo_clamp_cap.stl,6,25.2,69.6,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,1,-120.5,-119.9,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,2,-52.5,-119.9,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,3,15.5,-119.9,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,4,83.5,-119.9,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,5,-120.5,-53.9,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,6,-52.5,-53.9,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,1,129.5,-127.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,2,129.5,-77.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,3,6.5,-74.0,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,4,56.5,-74.0,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,5,93.5,-61.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,6,6.5,-50.0,0
plate_06_rigid_uno_q_trays,PLA/PETG rigid,uno_q_tray.stl,1,-102.5,-108.0,0
plate_06_rigid_uno_q_trays,PLA/PETG rigid,uno_q_tray.stl,2,1.5,-108.0,0
plate_06_rigid_uno_q_trays,PLA/PETG rigid,uno_q_tray.stl,3,97.5,-100.0,90
plate_06_rigid_uno_q_trays,PLA/PETG rigid,uno_q_tray.stl,4,-102.5,-20.0,0
plate_06_rigid_uno_q_trays,PLA/PETG rigid,uno_q_tray.stl,5,1.5,-20.0,0
plate_06_rigid_uno_q_trays,PLA/PETG rigid,uno_q_tray.stl,6,97.5,4.0,90
plate_07_rigid_buck_trays,PLA/PETG rigid,buck_tray.stl,1,-102.5,-108.0,0
plate_07_rigid_buck_trays,PLA/PETG rigid,buck_tray.stl,2,1.5,-108.0,0
plate_07_rigid_buck_trays,PLA/PETG rigid,buck_tray.stl,3,97.5,-100.0,90
plate_07_rigid_buck_trays,PLA/PETG rigid,buck_tray.stl,4,-102.5,-20.0,0
plate_07_rigid_buck_trays,PLA/PETG rigid,buck_tray.stl,5,1.5,-20.0,0
plate_07_rigid_buck_trays,PLA/PETG rigid,buck_tray.stl,6,97.5,4.0,90
plate_08_carapace,PLA/PETG rigid,spider_carapace.stl,1,0.0,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,1,-90.0,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,2,-54.0,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,3,-18.0,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,4,18.0,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,5,54.0,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,6,90.0,0.0,0
